"CÓDIGO SIGEP","NOMBRE DE LA ENTIDAD","NIT","ORDEN","SUBORDEN","REGIÓN PND","CÓDIGO DIVIPOLA DEPARTAMENTO","DEPARTAMENTO","CÓDIGO DIVIPOLA MUNICIPIO","MUNICIPIO","CLASIFICACIÓN ORGÁNICA","SECTOR","NIVEL","TIPO DE VINCULACIÓN","NATURALEZA JURÍDICA","LONGITUD","LATITUD","AÑO","MES","FUENTE","GENERO: HOMBRE","GENERO: MUJER","NIVEL EDUCATIVO: PRIMARIA","NIVEL EDUCATIVO: SECUNDARIA","NIVEL EDUCATIVO: TÉCNICA-TECNOLÓGICA","NIVEL EDUCATIVO: PROFESIONAL","NIVEL EDUCATIVO: ESPECIALIZACIÓN","NIVEL EDUCATIVO: MAESTRÍA","NIVEL EDUCATIVO: DOCTORADO","NIVEL EDUCATIVO: SIN DATOS","EDAD: MENOR O IGUAL A 29","EDAD: 30-39","EDAD: 40-49","EDAD: 50-62","EDAD: 63 Y MAS","EXPERIENCIA LABORAL: MENOR A 1 AÑO","EXPERIENCIA LABORAL: DE 1 A 10 AÑOS","EXPERIENCIA LABORAL: DE 11 A 20 AÑOS","EXPERIENCIA LABORAL: DE 21 A 30 AÑOS","EXPERIENCIA LABORAL: DE 31 A 40 AÑOS","EXPERIENCIA LABORAL: MAYOR A 40 AÑOS","EXPERIENCIA LABORAL: SIN DATOS","SALARIO MENSUAL PROMEDIO"
"00001","ABASTOS GUADALAJARA DE BUGA","815000842","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","ADSCRITAS","ESTABLECIMIENTO PÚBLICO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","2","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","3.469.779"
"00002","MINISTERIO DE RELACIONES EXTERIORES","899999042","NACIONAL",,,,,,,"NO APLICA","RELACIONES EXTERIORES","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","777","733","7","160","0","497","278","423","35","8","92","540","411","361","106","460","442","203","203","116","91","0","6.326.386,87"
"00004","MINISTERIO DE HACIENDA Y CREDITO PUBLICO","899999090","NACIONAL",,,,,,,"NO APLICA","HACIENDA Y CRÉDITO PÚBLICO","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","296","333","0","38","0","114","285","147","7","0","47","163","177","200","42","180","177","94","94","77","70","0","5.422.478,7"
"00005","MINISTERIO DE DEFENSA NACIONAL","899999003","NACIONAL",,,,,,,"NO APLICA","DEFENSA","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","288","355","2","104","0","133","213","140","3","1","43","144","200","211","45","169","191","119","119","71","73","0","2.575.982,16"
"00006","MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL","899999028","NACIONAL",,,,,,,"NO APLICA","AGROPECUARIO PESQUERO Y DE DESARROLLO RURAL","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","116","128","1","45","0","46","88","47","1","0","6","53","70","83","32","59","79","34","34","23","47","0","4.378.570,85"
"00009","MINISTERIO DE MINAS Y ENERGIA","899999022","NACIONAL",,,,,,,"NO APLICA","MINAS Y ENERGIA","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","151","133","0","25","0","43","108","79","5","0","5","69","104","92","14","78","85","49","49","21","30","0","4.484.381,63"
"00011","MINISTERIO DE EDUCACION NACIONAL","899999001","NACIONAL",,,,,,,"NO APLICA","EDUCACIÓN","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","177","336","0","30","0","80","189","177","17","0","13","96","144","203","57","108","159","92","92","58","69","0","6.017.645,72"
"00012","MINISTERIO DE TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES","899999053","NACIONAL",,,,,,,"NO APLICA","TECNOLOGÍAS DE LA INFORMACION Y LAS COMUNICACIONES","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","236","254","1","19","0","48","256","140","2","0","10","145","184","134","17","157","158","57","57","59","41","0","4.876.055,43"
"00013","MINISTERIO DE TRANSPORTE","899999055","NACIONAL",,,,,,,"NO APLICA","TRANSPORTE","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","239","276","1","133","0","138","157","48","1","0","14","88","108","198","107","120","84","71","71","159","37","0","3.124.749,92"
"00016","MINISTERIO DE LAS CULTURAS, LAS ARTES Y LOS SABERES","830034348","NACIONAL",,,,,,,"NO APLICA","CULTURA","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","135","203","2","41","0","83","78","96","5","0","21","90","98","99","30","124","86","51","51","24","42","0","5.408.816,65"
"00018","DEPARTAMENTO ADMINISTRATIVO DE LA PRESIDENCIA DE LA REPUBLICA","899999083","NACIONAL",,,,,,,"NO APLICA","PRESIDENCIA DE LA REPÚBLICA","CENTRAL","CABEZA","DEPARTAMENTO ADMINISTRATIVO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","403","400","5","179","0","171","222","120","12","2","66","216","222","256","43","289","218","107","107","79","34","0","3.991.230,53"
"00020","DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA","899999027","NACIONAL",,,,,,,"NO APLICA","INFORMACIÓN ESTADÍSTICA","CENTRAL","CABEZA","DEPARTAMENTO ADMINISTRATIVO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","489","645","1","43","0","380","455","190","6","0","36","250","444","351","53","335","369","207","207","97","97","0","4.688.343,25"
"00021","DEPARTAMENTO NACIONAL DE PLANEACION","899999011","NACIONAL",,,,,,,"NO APLICA","PLANEACIÓN","CENTRAL","CABEZA","DEPARTAMENTO ADMINISTRATIVO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","250","297","3","56","0","57","204","194","11","0","14","162","182","170","19","184","168","74","74","40","51","0","8.053.607,12"
"00022","DEPARTAMENTO ADMINISTRATIVO DE LA FUNCION PUBLICA","899999020","NACIONAL",,,,,,,"NO APLICA","FUNCIÓN PÚBLICA","CENTRAL","CABEZA","DEPARTAMENTO ADMINISTRATIVO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","117","155","0","8","0","58","130","62","5","2","21","98","90","57","6","128","57","34","34","17","15","0","6.078.106,64"
"00023","ADMINISTRACION PUBLICA COOPERATIVA DEL MUNICIPIO DE ENCINO","900301723","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","ADSCRITAS","ESTABLECIMIENTO PÚBLICO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1.580.158"
"00025","AEROPUERTO MATECAÑA","891480014","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","ADSCRITAS","ESTABLECIMIENTO PÚBLICO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","3","2","0","0","0","0","5","0","0","0","0","1","1","3","0","1","2","2","2","0","0","0","4.492.270,4"
"00027","SUPERINTENDENCIA DE NOTARIADO Y REGISTRO","899999007","NACIONAL",,,,,,,"NO APLICA","JUSTICIA Y DEL DERECHO","DESCENTRALIZADO","ADSCRITAS","SUPERINTENDENCIA CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","863","1218","6","382","0","496","807","131","2","3","77","300","583","764","357","319","387","300","300","258","720","0","3.926.305,56"
"00028","SUPERINTENDENCIA DEL SUBSIDIO FAMILIAR","860503600","NACIONAL",,,,,,,"NO APLICA","TRABAJO","DESCENTRALIZADO","ADSCRITAS","SUPERINTENDENCIA CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","57","68","0","14","0","19","60","28","1","1","4","26","52","35","8","43","37","14","14","14","5","0","6.792.598,03"
"00029","SUPERINTENDENCIA NACIONAL DE SALUD","860062187","NACIONAL",,,,,,,"NO APLICA","SALUD Y PROTECCIÓN SOCIAL","DESCENTRALIZADO","ADSCRITAS","SUPERINTENDENCIA CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","408","627","1","42","0","122","586","234","9","0","50","297","378","266","44","315","295","154","154","63","99","0","5.097.754,46"
"00030","SUPERINTENDENCIA DE SOCIEDADES","899999086","NACIONAL",,,,,,,"NO APLICA","COMERCIO INDUSTRIA Y TURISMO","DESCENTRALIZADO","ADSCRITAS","SUPERINTENDENCIA CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","263","356","0","57","0","102","278","151","2","0","46","160","184","153","76","220","127","104","104","74","67","0","4.277.622,11"
"00031","SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO","800176089","NACIONAL",,,,,,,"NO APLICA","COMERCIO INDUSTRIA Y TURISMO","DESCENTRALIZADO","ADSCRITAS","SUPERINTENDENCIA CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","189","289","2","36","0","127","188","81","7","3","36","150","144","117","31","115","158","76","76","41","56","0","3.388.913,89"
"00032","UNIDAD ADMINISTRATIVA ESPECIAL DE ORGANIZACIONES SOLIDARIAS","899999050","NACIONAL",,,,,,,"NO APLICA","TRABAJO","DESCENTRALIZADO","ADSCRITAS","UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","24","36","0","5","0","18","23","11","0","0","5","11","25","15","4","14","17","9","9","5","5","0","4.850.938,68"
"00033","SUPERINTENDENCIA DE SERVICIOS PUBLICOS DOMICILIARIOS","800250984","NACIONAL",,,,,,,"NO APLICA","PLANEACIÓN","DESCENTRALIZADO","ADSCRITAS","SUPERINTENDENCIA CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","342","419","0","32","0","142","408","149","5","1","60","257","229","181","34","342","208","84","84","31","54","0","5.432.831,75"
"00034","SUPERINTENDENCIA DE TRANSPORTE","800170433","NACIONAL",,,,,,,"NO APLICA","TRANSPORTE","DESCENTRALIZADO","ADSCRITAS","SUPERINTENDENCIA CON PERSONERÍA JURÍDICA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","110","118","0","15","0","54","110","31","0","0","24","93","51","47","13","85","61","19","19","9","25","0","4.386.567,81"
"00036","EMPRESA DE SERVICIOS PUBLICOS AGUAS DEL CESAR S.A","900149163","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","17","16","0","2","0","8","15","5","1","0","0","10","17","4","2","12","18","1","1","0","0","0","9.558.957"
"00038","AGUAS Y ASEO DE SUBACHOQUE S.A","900322539","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","13","3","3","9","0","0","0","0","0","2","0","2","6","5","3","2","7","2","2","3","0","0","0"
"00039","ALCALDIA DISTRITAL DE BARRANQUILLA, DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO","890102018","TERRITORIAL",,,,,,,"DISTRITAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","640","695","1","142","0","371","457","144","3","126","40","331","481","355","128","403","333","145","145","89","43","0","3.996.911,15"
"00040","ALCALDIA DE MAICAO","892120020","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","29","40","2","11","0","23","17","1","0","11","6","23","11","21","8","29","10","1","1","2","0","0","2.169.544,83"
"00041","ALCALDIA DE PALMAR DE VARELA ATLANTICO","800068444","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","7","6","0","3","0","7","3","0","0","0","1","4","3","3","2","8","1","0","0","2","0","0","3.372.909,92"
"00042","ALCALDIA DE SILVIA","800095986","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","12","18","0","7","0","13","6","2","0","0","1","4","8","16","1","13","4","4","4","4","5","0","1.888.351,27"
"00043","ALCALDIA DISTRITAL DE SANTA MARTA, DISTRITO TURISTICO, CULTURAL E HISTORICO","891780009","TERRITORIAL",,,,,,,"DISTRITAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","157","157","0","37","0","69","133","48","2","1","14","113","95","72","20","140","61","30","30","28","11","0","3.975.921,44"
